"area","tema","decision","detalle"
"Objetivo","Lectura automatica","El sistema debe interpretar datos por software, no depender de lectura humana de CSV","Dispositivo procesa localmente, backend recibe paquetes resumidos, motor de reglas genera estado/evento y apps muestran lectura contextual."
"Formato actual","CSV","Mantener como registro tecnico principal de pruebas","CSV es texto tabular, ideal para Excel, Codex, graficas y auditoria. No debe ser el canal principal de telemetria en vivo."
"Formato actual","JSON","Mantener para prototipo/backend","Es legible, flexible y rapido para iterar. Costo: mas bytes que formatos binarios."
"Formato futuro","JSON compacto","Usar en beta antes de pasar a binario","Nombres cortos, sin raw crudo permanente, envio cada 5-30 s segun estado."
"Formato futuro","MessagePack/CBOR","Candidato recomendado para producto","Mantiene estructura tipo JSON pero con menos bytes. Buen equilibrio entre eficiencia y complejidad."
"Formato futuro","Protobuf","Evaluar si el protocolo se estabiliza","Muy eficiente y robusto para escala, pero exige definiciones rigidas y mayor disciplina de versiones."
"Dispositivo","Procesamiento local","No transmitir IMU cruda todo el tiempo","Calcular water, motion, gpsFix, bateria, orientacion, ritmo/periodicidad, riesgo y eventos. Guardar crudo local para diagnostico."
"Transmision normal","Lite/Beta","Enviar resumen cada 5-10 s","lat/lon si fix confiable, edad senal, velocidad, agua, movimiento, riesgo, bateria, fuente GPS, satelites/HDOP resumidos."
"Transmision baja energia","Nado largo","Enviar cada 10-30 s y eventos","Reduce datos, bateria y costo. Mantiene SD/memoria local para detalle."
"Transmision alerta","Emergencia","Subir frecuencia a 1-2 s temporalmente","Priorizar ultima ubicacion, estado agua, inmovilidad, ultima senal, bateria y tipo de alerta."
"Backend","Interpretador","No solo guardar; debe interpretar","Validar membresia/dispositivo, geocerca, perdida de senal, inmovilidad, salida de agua, ultima ubicacion y escalamiento de alerta."
"Apps","Atleta","Ver historial y resumen post sesion","Mapa, tiempo, distancia, zonas sin senal, evolucion de rotacion/ritmo/impulso, descarga de datos propios."
"Apps","Coach","Monitor, no due̱o del historial","Ver atletas activos, mapa, alerta, geocerca compartida, estado y rotacion en vivo si el atleta comparte."
"Apps","Familia","Lectura simple y automatica","Inicio automatico cuando hay sesion/agua, ultima ubicacion, estado normal/observar/alerta, notificaciones."
"Leccion ngrok","Requests","Optimizar cantidad de llamadas","El modo extremo aprox 1.5 requests/s agoto limite. Modo optimizado usa POST 5 s + GET /api/coach-live 5 s."
"Resumen TXT","Complemento","Opcional, no reemplaza CSV","Puede incluir duracion, primer fix GPS, satelites, distancia, energia promedio, cierre correcto e incidencias."
"Apps","Atleta / Interpretacion","Separar lectura tecnica de lectura humana","La app de atleta no debe mostrar LR/FB/UD/MAG como datos principales. Debe traducirlos a rotacion, alineacion, impulso, ritmo, eficiencia y seguridad."
"Motor de interpretacion","Comparativas simultaneas","Comparar valor actual contra inicio, ventana reciente y promedio de sesion","Evita diagnosticos falsos: una baja contra los ultimos 30 s puede seguir siendo mejora frente al inicio. La app debe decir: mejor que al inicio, bajando en el tramo reciente, estable contra el promedio."
"Motor de interpretacion","Causa probable","Explicar que cambio cuando sube o baja velocidad/ritmo","Cruzar GPS velocidad/distancia con impulso MAG, rotacion LR, alineacion UD/FB y ritmo/ciclo. Si sube velocidad con igual esfuerzo puede ser eficiencia; si sube solo con mas MAG puede ser fuerza; si baja velocidad con mas MAG puede ser perdida de eficiencia."
"Motor de interpretacion","Resumen temporal","Contar la historia del nado por tramos","Dividir sesion en inicio, tramo estable, primer cambio relevante y tramo final. Detectar minuto aproximado donde cambio ritmo, rotacion, alineacion o impulso."
"Datos etiquetados","Aprendizaje inicial","Usar sesiones con USER + MODE como etiquetas de campo","La app no sabe sola que significa cada patron. Se necesita etiquetar pruebas: rotacion normal/baja/exagerada, respiracion, patada, dedos abiertos/cerrados, fatiga, detenido."
"Producto","Valor para atleta","La app debe responder por que y que significa","Cada diagnostico debe tener resultado, explicacion basada en datos y significado corporal. Ejemplo: Rotacion izquierda baja porque fue menor que derecha y menor que tu base; puede indicar asimetria o respiracion dominante."
"Motor de interpretacion","Rotacion por eje LR","Usar LR centrado y picos utiles como lectura principal de rolido del prototipo actual","Las pruebas SS000030-SS000033 muestran que LR discrimina derecha/izquierda mejor que ROLL en el montaje actual. Esta convencion queda en validacion hasta definir carcasa y posicion final del IMU."
"Motor de interpretacion","MAG contextual","No clasificar MAG aislado como empuje","Cruzar MAG con avance GPS, rotacion, alineacion y ritmo para distinguir eficiencia, fuerza, gasto alto o perdida de avance. MAG bajo con velocidad estable puede ser eficiencia, no debilidad."
"Motor de interpretacion","Respiracion con freno","Inferir con prudencia cuando alineacion se rompe y continuidad cae alrededor del ciclo","No afirmar movimiento de cabeza directamente. Usar lectura probable: posible respiracion con freno cuando cambia alineacion, cae continuidad y aparece variacion de energia."
"Alcance tecnico","IMU unico","Interpretacion contextual, no biomecanica completa","Un IMU dorsal mide consecuencias corporales del nado; no mide mano, brazo, pierna, cabeza ni fuerza exacta. La app debe hablar en terminos compatibles/probables y comparados con la base del atleta."
"Producto","Lenguaje para atleta","Traducir datos tecnicos a frases simples","Rotacion, alineacion, continuidad, ritmo y avance deben explicarse como si lo leyera una persona sin conocimiento tecnico: que paso, por que podria haber pasado y que mirar en la proxima prueba."
