"orden","codigo","fase","entorno","distancia_o_duracion","objetivo_tecnico","condicion","datos_a_observar","lectura_esperada","criterio_exito","observaciones"
"01","B00","calibracion","seco","30 s","Tomar cero fisico del prototipo sobre mesa o base plana.","Dispositivo quieto, sin atleta.","LR, FB, UD, MAG, ROT, ALINEACION","Senal estable; ROT cercano a 0; MAG cercano a gravedad.","La app permite usar esta base sin marcar movimiento falso.","No reemplaza la base corporal; solo ordena el sensor."
"02","P00","colocacion","seco","30 s","Medir offset al colocar el dispositivo en espalda alta.","Atleta de pie, quieto, dispositivo ya sujeto.","ROT, ALINEACION, MAG, ruido de montaje","Valores estables aunque no sean cero; sirve para detectar colocacion torcida.","No debe generar diagnostico de nado.","Registrar tipo de sujecion/cinta/caja."
"03","QAGU","pre-agua","agua","15 a 30 s","Separar ruido de agua y flotacion de nado real.","Solo si es comodo y seguro; no forzar apnea.","UD/ALINEACION, MAG, movimiento","Movimiento bajo; sin ciclo de brazada.","La app debe distinguir quieto en agua de nado.","No pedir al atleta flotar boca abajo por tiempo excesivo."
"04","BASE","referencia","piscina","25 m x 2","Crear patron propio de nado natural.","Nado libre sin indicaciones tecnicas.","Rotacion DER/IZQ, alineacion, impulso, ciclo, conteo de brazadas","Patron repetible del atleta.","Sirve como base para comparar los otros codigos.","Cada largo debe ser sesion separada o claramente marcado."
"05","RD","respiracion","piscina","25 m","Observar efecto de respirar hacia derecha.","Respirar principalmente a derecha.","Rotacion hacia lado de respiracion, alineacion, ciclo","La respiracion puede aumentar rolido aprox. 10 grados respecto a base.","La app debe explicar si la respiracion cambia la simetria.","Dato derivado del documento de rolido."
"06","RI","respiracion","piscina","25 m","Observar efecto de respirar hacia izquierda.","Respirar principalmente a izquierda.","Rotacion hacia lado de respiracion, alineacion, ciclo","La respiracion puede aumentar rolido aprox. 10 grados respecto a base.","Comparar RD vs RI para detectar preferencia lateral.","Dato derivado del documento de rolido."
"07","RNDC-CP","tecnica base","piscina","25 m","Buscar referencia tecnica limpia con rotacion normal, mano cerrada y patada.","Tecnica normal controlada.","Rotacion, alineacion, impulso, ritmo","Debe ser candidato a mejor patron propio si sale estable.","Puede usarse como base de entrenamiento futura.","No obligar al atleta a nadar artificial si pierde naturalidad."
"08","RNDC-SP","aislamiento","piscina","25 m","Separar efecto de torso/brazada sin ayuda de patada.","Rotacion normal, dedos cerrados, sin patada.","Alineacion, impulso, caida de cuerpo","Puede bajar alineacion o velocidad si falta patada.","Identifica cuanto sostiene el torso sin patada.","Usar solo en piscina y con supervision."
"09","RBDC-CP","rotacion baja","piscina","25 m","Validar lectura de baja rotacion con impulso razonable.","Baja rotacion, dedos cerrados, con patada.","Rotacion, ciclo, impulso","Rotacion menor que BASE; impulso puede mantenerse por mano/patada.","La app debe decir 'giro bajo' y no solo mostrar numero.","Comparar contra RNDC-CP."
"10","REDC-CP","rotacion alta","piscina","25 m","Validar lectura de rotacion exagerada.","Rotacion exagerada, dedos cerrados, con patada.","Rotacion maxima, asimetria, alineacion","Puede superar zona recomendada y alterar estabilidad.","La app debe marcar exceso sin tratarlo como alarma de seguridad.","Evitar exagerar al punto de incomodar al atleta."
"11","RNDA-CP","mano abierta","piscina","25 m","Evaluar si MAG/impulso detecta menor empuje con dedos abiertos.","Rotacion normal, dedos abiertos, con patada.","MAG, impulso, velocidad/ciclo","Impulso podria ser menor o mas irregular que RNDC-CP.","Solo usar como indicio, no como verdad absoluta.","La IMU no mide dedos; infiere por resultado corporal."
"12","FAT-2M","fatiga","piscina","2 a 4 min","Observar cambio de tecnica con cansancio.","Nado continuo moderado.","Rotacion promedio por minuto, alineacion, impulso, ciclo, respiracion inferida","Puede caer alineacion, subir ciclo o volverse irregular el impulso.","La app debe explicar cuando empezo el cambio.","Clave para resumen tipo atleta/coach."
"13","MAR-BASE","campo","mar","2 a 5 min","Comparar piscina vs mar con GPS y oleaje.","Nado natural, supervisado.","GPS, senal, rotacion, alineacion, impulso, cortes BLE","Diferencias por oleaje y orientacion; GPS debe registrar inicio/final.","Validar utilidad fuera de piscina.","No usar como unica prueba de tecnica."
"14","MAR-SENAL","campo","mar","2 a 5 min","Medir comunicacion real y zona de cobertura.","Atleta con telefono gateway o prueba local segun disponibilidad.","GPS, BLE, cortes, edad de senal","Registrar cortes como dato de contexto, no como fallo inmediato.","Sirve para mapa futuro de confianza de comunicacion.","Mantener prioridad seguridad y supervision."
