id,regla,decision,razon,validacion_necesaria
SS-EMS-001,Alcance acuatico,"Events monitorea solamente el segmento acuatico y la transición de salida","Mantiene la especializacion y evita prometer seguimiento terrestre no validado","Pruebas de deteccion agua/seco y enlace con transición"
SS-EMS-002,Escalamiento de emergencia,"En Events no existe SOS gubernamental automatico; toda alerta se dirige primero al centro de seguridad del evento","El organizador posee personal, embarcaciones, médicos y protocolo situacional; reduce escalamiento incorrecto","Contrato, matriz de alertas, responsables y simulacros"
SS-EMS-003,Autoridad final,"El centro de seguridad decide si escala a autoridades o servicios externos","La decisión requiere contexto humano y protocolo oficial","Definir roles, registro de decisiones y redundancia"
SS-EMS-004,Funcion del atleta,"El dispositivo opera pasivamente y no debe distraer ni entregar ventaja competitiva","Reglamentos pueden restringir comunicaciones o wearables no aprobados","Aprobación del organizador/federación y proceso de wearable aplicable"
SS-EMS-005,Cronometraje,"Mantener tiempos oficiales separados inicialmente","La seguridad continua y el cronometraje tienen requisitos y responsabilidades distintas","API opcional con proveedor de cronometraje"
SS-EMS-006,Posicion real vs estimada,"Diferenciar ubicación medida de posiciones estimadas por splits","Trackers de eventos pueden estimar mapa desde lecturas de tiempo; Save Swimmer busca observar realmente el agua","Validar GNSS y comunicación sobre agua"
SS-EMS-007,Cut-off y cierre,"Events identifica atletas fuera de tiempo, retirados, en transición y pendientes de cierre","El control de todos los participantes es parte central de un plan de seguridad","Integración con check-in/salida/llegada y pruebas operativas"
SS-EMS-008,Compatibilidad propia/alquiler,"Aceptar nodos alquilados y dispositivos Lite/Pro propios activados temporalmente","Reduce flota necesaria y fortalece ecosistema","RF común, credenciales temporales y control de versiones"
SS-EMS-009,Eventos aplicables,"Aguas abiertas, triatlon, aquathlon, nado nocturno, travesia y luego swimrun/adventure","Todos contienen un segmento acuatico donde existe una brecha de visibilidad","Validar reglamento y riesgos por disciplina"
SS-EMS-010,Mensaje comercial,"Events complementa el plan de seguridad; no reemplaza salvavidas, embarcaciones, médicos ni protocolos","Evita promesas peligrosas y facilita adopción institucional","Revisión legal, seguros y documentación comercial"
