id,tema,fuente,fecha_consulta,hallazgo_aplicable,url
SS-SRC-001,Seguridad aguas abiertas,World Aquatics Open Water Manual,2026-06-05,"Los eventos requieren plan de seguridad, contabilizar a todos los nadadores, observarlos durante la carrera y disponer rescate/resucitacion inmediata; Save Swimmer debe complementar ese plan","https://www.worldaquatics.com/sites/default/files/fina_ow_manual_2020_14may2020.pdf"
SS-SRC-002,Wearables en competencia,World Aquatics Wearables Open Water,2026-06-05,"World Aquatics mantiene proceso y lista de wearables aprobados; un producto debe declararse y aprobarse para competencias reguladas","https://www.worldaquatics.com/open-water/Wearables-open-water"
SS-SRC-003,Temperatura y riesgo,World Aquatics investigación temperatura,2026-06-05,"La seguridad depende también de temperatura, duración y variabilidad individual; existe oportunidad futura de contexto ambiental sin convertir SS en dispositivo médico","https://www.worldaquatics.com/news/4479872/science-supports-safety-new-research-reinforces-16c-world-aquatics-threshold-open-water-swimming"
SS-SRC-004,Tracking triatlon,IRONMAN Athlete Tracker,2026-06-05,"El mapa de IRONMAN puede estimar posiciones desde el último split; Save Swimmer puede diferenciarse con observación real del segmento acuático","https://www.ironman.com/app-tracking-information"
SS-SRC-005,Reglas triatlon,IRONMAN Competition Rules,2026-06-05,"Los dispositivos distractivos o comunicaciones pueden generar sanciones; Events Multisport debe ser pasivo y aprobado","https://www.ironman.com/resources/rules-and-policies/competition-rules"
SS-SRC-006,Check-in,IRONMAN Race Week Info,2026-06-05,"Eventos grandes ya usan QR de registro y verificación presencial; valida el flujo propuesto de check-in Events","https://www.ironman.com/es/node/85056"
SS-SRC-007,Cronometraje oficial,World Aquatics Open Water Manual,2026-06-05,"El cronometraje oficial utiliza transponders y timing partner; Save Swimmer debe mantener cronometraje separado inicialmente","https://www.worldaquatics.com/sites/default/files/fina_ow_manual_2020_14may2020.pdf"
SS-SRC-008,Competidor cronometraje,Finisher Data,2026-06-05,"Finisher Data se posiciona como especialista en cronometraje, chips y resultados con experiencia regional; es rival estratégico por acceso a organizadores","https://finisherdata.com/"
SS-SRC-009,Mercado peruano triatlon,World Triathlon Federación Peru,2026-06-05,"Perú posee federación nacional y eventos internacionales, incluyendo Americas Triathlon Cup Lima 2026; existe canal institucional multisport","https://triathlon.org/federations/federacion-deportiva-nacional-de-triatlon"
SS-SRC-010,Mercado peruano clubes,Team Lobos Peru,2026-06-05,"Existen equipos locales con entrenamiento individual y grupal en playas, validando Coach/Club como canal inicial","https://www.teamlobosperu.com/"
SS-SRC-011,Homologacion Peru,MTC Homologacion,2026-06-05,"Equipos, antenas y transmisores deben cumplir homologación peruana; la arquitectura RF/celular debe contemplarse antes de comercializar","https://www.gob.pe/institucion/mtc/noticias/1104140-todo-lo-que-debes-saber-sobre-la-homologacion-de-celulares-y-otros-equipos-de-telecomunicaciones"
SS-SRC-012,Europa radio,Comisión Europea Radio Equipment Directive,2026-06-05,"La entrada a Europa exige conformidad de equipos radio en seguridad, EMC, espectro y aspectos de privacidad/ciberseguridad","https://single-market-economy.ec.europa.eu/sectors/electrical-and-electronic-engineering-industries-eei/radio-equipment-directive-red_en"
SS-SRC-013,Estados Unidos radio,FCC Equipment Authorization,2026-06-05,"Los dispositivos RF deben estar autorizados antes de comercialización o importación en Estados Unidos","https://opendata.fcc.gov/Engineering-Technology/EAS-Equipment-Authorization-Grantee-Registrations/3b3k-34jp"
SS-SRC-014,Proteccion IP,IEC 60529,2026-06-05,"La afirmación IP debe sustentarse mediante ensayos conforme al código de protección de envolventes","https://webstore.iec.ch/en/publication/2452"
