id,dimension,finisher_data,save_swimmer,relacion_estrategica,decision
SS-CFD-001,Posicionamiento principal,"Especialista en cronometraje deportivo y resultados","Especialista en seguridad y contexto acuatico continuo",DIFERENCIACION,"No presentar Save Swimmer inicialmente como empresa de cronometraje"
SS-CFD-002,Experiencia y acceso,"Mas de 13 anos y presencia declarada en Peru, Ecuador, Argentina y Brasil","Proyecto en etapa de prototipo y validacion",VENTAJA_FINISHER,"Reconocer su ventaja operativa y aprender del flujo real de eventos"
SS-CFD-003,Relacion con organizadores,"Servicio establecido para eventos deportivos","Debe construir relaciones con organizadores de aguas abiertas",RIVAL_ESTRATEGICO,"Competir por relevancia y presupuesto del organizador con una propuesta claramente distinta"
SS-CFD-004,Antes del evento,"Registro y comunidad de participantes visibles en su plataforma","Preinscripcion, consentimiento, identidad y vinculacion del dispositivo Events",SOLAPAMIENTO,"Diseñar flujo propio, pero mantener posibilidad de importar o integrar registros"
SS-CFD-005,Entrega de chip y check-in,"Cronometraje mediante chips y operacion asociada","QR de atleta, verificacion, asignacion Save Swimmer propio/alquilado y activacion RF",SOLAPAMIENTO_COMPLEMENTARIO,"Save Swimmer puede reducir filas sin reemplazar inicialmente el chip oficial"
SS-CFD-006,Durante el recorrido,"Cronometraje registra pasos por puntos de control cuando existe lector","Save Swimmer busca observar ubicacion, movimiento, geocerca, agua/seco, alertas y SOS entre puntos",VENTAJA_SAVE_SWIMMER,"Concentrar la propuesta comercial en el periodo donde hoy existe menor visibilidad"
SS-CFD-007,Llegada y resultados,"Tiempos, clasificaciones y resultados","Cierre seguro, pendientes de llegada, incidencias y resumen de seguridad",COMPLEMENTARIO,"Integrar resultados externos en el futuro sin asumir cronometraje oficial inicialmente"
SS-CFD-008,Hardware participante,"Chip RFID especializado para cronometraje","Wearable dorsal activo con sensores, GNSS, comunicacion y registro",DIFERENCIACION,"No comparar costos como si fueran dispositivos equivalentes"
SS-CFD-009,Modelo comercial,"Servicio de cronometraje y chips para organizadores","Dispositivo, membresia, Events, alquiler y servicio de seguridad",RIVAL_Y_COMPLEMENTARIO,"Preparar oferta Events independiente y tambien propuesta de alianza"
SS-CFD-010,Estrategia recomendada,"Puede ampliar funciones hacia gestion y seguimiento","Save Swimmer puede ampliar Events hacia operacion del evento",COOPETENCIA,"Construir interoperabilidad y ventaja propia; evitar guerra temprana de cronometraje"
