id,escenario,horizonte,probabilidad_actual,impacto,senal_activacion,preparacion_previa,decision_actual,riesgo_principal
SS-ESC-001,Events opera como sistema propio de seguridad acuática y control operativo,Mediano plazo,Media,Muy alto,"Organizador solicita monitoreo continuo de nadadores","Validar hardware RF; gateways; panel multiatleta; protocolo Events; contratos y responsabilidades",PREPARAR_SIN_PROMETER,"Intentar operar antes de validar capacidad y cobertura"
SS-ESC-002,Lite y Pro incluyen RF Events dormido desde fabrica,Antes de PCB final,Media,Alto,"Costo total RF permanece dentro del margen y supera pruebas tecnicas/regulatorias","Cotizar modulo, antena, PCB, consumo, bateria, homologacion y ensamblaje",EVALUAR_CON_UMBRAL_ECONOMICO,"Agregar costo y complejidad que el mercado inicial no pague"
SS-ESC-003,Propietarios activan temporalmente sus dispositivos en competencias,Mediano plazo,Media,Alto,"Events esta operativo y existen suficientes propietarios participantes","Identidad unica; activacion segura; QR; firmware actualizable; expiracion automatica",DISEÑAR_COMPATIBILIDAD,"Equipos antiguos incompatibles o activaciones no autorizadas"
SS-ESC-004,Save Swimmer mantiene flota de alquiler Events,Mediano plazo,Alta,Alto,"Primeras competencias requieren cubrir participantes sin dispositivo propio","Inventario; carga; mantenimiento; limpieza; asignacion; recuperacion; reemplazos",CONTEMPLAR_MODELO_HIBRIDO,"Capital inmovilizado y perdidas de equipos"
SS-ESC-005,Alianza con empresa de cronometraje como Finisher Data,Mediano plazo,Media,Muy alto,"Existe interes mutuo o acceso a organizadores mediante integracion","Registrar marca/software; NDA; demo cerrada; API limitada; contrato piloto; asesor legal",EVALUAR_SIN_ENTREGAR_SECRETOS,"Copia de conceptos, dependencia comercial o perdida de control"
SS-ESC-006,Finisher Data u otro operador desarrolla funciones similares,Corto/mediano plazo,Media,Muy alto,"Anuncian seguimiento, seguridad acuática o wearable activo","Acelerar validacion; comunidad; datos propios; marca; propiedad intelectual; relaciones acuáticas",MONITOREAR_Y_DIFERENCIAR,"Competidor establecido llega antes al organizador"
SS-ESC-007,Save Swimmer integra cronometraje oficial,Plazo largo,Baja,Muy alto,"Marca posee estructura, precision, certificacion y demanda suficiente","Pruebas de precisión; reglas deportivas; hardware de control; responsabilidades; personal especializado",NO_PRIORIZAR_AHORA,"Desviar recursos del núcleo de seguridad"
SS-ESC-008,Save Swimmer se integra con cronometraje externo mediante API,Mediano plazo,Media,Alto,"Organizador quiere una experiencia unificada sin reemplazar proveedor actual","Modelo de datos; API; permisos; identificadores comunes; pruebas de interoperabilidad",PREPARAR_ARQUITECTURA,"Exponer datos sensibles o depender de API ajena"
SS-ESC-009,Check-in Events reemplaza parte de las planillas y filas,Mediano plazo,Alta,Alto,"Organizador identifica demora en registro y entrega de chips/dispositivos","Preinscripcion; consentimiento; QR temporal; verificacion presencial; panel mesa",PRIORIZAR_EN_EVENTS,"Confundir aceptación electrónica con firma digital certificada"
SS-ESC-010,Organizador exige propiedad o acceso total a datos,Mediano plazo,Media,Alto,"Negociacion comercial o contrato solicita base completa","Política de propiedad; permisos atleta; retencion; anonimización; contrato y API limitada",NO_CEDER_POR_DEFECTO,"Perder confianza, privacidad y activo estratégico"
SS-ESC-011,Autoridad o entidad pública evalúa Save Swimmer,Plazo largo,Baja,Muy alto,"Solicitud formal de piloto, información o homologación","Trazabilidad; calidad; documentación; límites; certificaciones; seguridad y privacidad",PREPARAR_DOCUMENTACION,"Promesas prematuras y exigencias regulatorias"
SS-ESC-012,Save Swimmer no entra a Events y se concentra en atleta/coach/familia,Mediano plazo,Media,Medio,"Events no resulta rentable o desvía recursos críticos","Mantener arquitectura modular; separar inversiones y métricas por línea",MANTENER_COMO_ALTERNATIVA,"Sostener una expansión no rentable por apego a la idea"
