categoria,respuesta,conteo_sobre_3,porcentaje_muestra,lectura_preliminar,decision_actual
Rol,Nadador/a,2,66.7,"La muestra inicial incluye perspectiva directa del usuario final","Seguir buscando nadadores de distintos niveles"
Rol,Entrenador/a,1,33.3,"Aporta perspectiva de monitoreo y análisis","Buscar más entrenadores y responsables de grupo"
Frecuencia,Ocasionalmente,2,66.7,"La mayoría inicial no practica semanalmente","No diseñar solamente para atletas avanzados"
Frecuencia,Mensualmente,1,33.3,"Existe uso periódico pero no intensivo","Evaluar facilidad de uso y precio"
Preocupacion,Corriente/oleaje,1,33.3,"El entorno puede separar o desplazar al nadador","Relacionar ubicación con zona segura"
Preocupacion,No ser visible,1,33.3,"La visibilidad preocupa incluso con seguimiento","Mantener LED/identificación como línea futura"
Preocupacion,Desorientacion,1,33.3,"La navegación y el rumbo son dolores reales","Priorizar geocerca y ubicación"
Preocupacion,Salir lejos del punto esperado,1,33.3,"El cierre seguro y punto de salida importan","Priorizar agua/seco y salida fuera de base"
Informacion util,Salida de zona segura,3,100.0,"Es la única función seleccionada por toda la muestra","Mantener geocerca como función central"
Informacion util,Ubicacion aproximada,2,66.7,"La ubicación es más valorada que métricas deportivas","Priorizar ubicación legible y última señal"
Informacion util,Distancia a costa/base,1,33.3,"Ayuda a interpretar ubicación sin leer coordenadas","Mostrar distancia a base"
Informacion util,Confirmacion de salida del agua,1,33.3,"Valida el cierre seguro de sesión","Desarrollar sensor agua y confirmación"
Adopcion,Si,2,66.7,"Existe aceptación inicial del formato dorsal","Validar con prueba física real"
Adopcion,Tal vez,1,33.3,"La adopción depende de valor y experiencia","No asumir compra por interés conceptual"
Barrera,Incomodidad,3,100.0,"La principal amenaza de adopción es física, no tecnológica","Ergonomía, tamaño y sujeción son requisitos críticos"
Barrera,Precio,1,33.3,"El precio aparece especialmente desde perspectiva coach","Medir disposición de pago en encuesta posterior"
Necesidad abierta,Alertar en emergencia,1,33.3,"Confirma expectativa de seguridad principal","Explicar límites y diseñar escalamiento humano"
Necesidad abierta,Ubicacion y seguimiento,1,33.3,"Refuerza la promesa central del producto","Priorizar confiabilidad sobre cantidad de métricas"
Necesidad abierta,Lineas/carriles y mayor cantidad de datos,1,33.3,"El entrenador busca orientación y análisis ampliado","Separar vista Coach simple de análisis detallado autorizado"
